hq,jkb,kgb,gqd,pjld,gqp,pjlp,gqs,pjls,sjczl
22.06,0.2,1.0,235.0,1.47,0.0,0.0,0.0,0.0,295.23
31.08,0.4,1.0,235.0,1.47,0.0,0.0,0.0,0.0,306.25
30.2,1.1,3.0,235.0,2.2,0.0,0.0,0.0,0.0,269.5
29.51,1.3,3.0,235.0,2.2,0.0,0.0,0.0,0.0,210.7
31.96,1.5,3.0,235.0,2.2,0.0,0.0,0.0,0.0,191.1
28.24,0.4,1.0,235.0,1.165,0.0,0.0,0.0,0.0,337.12
26.96,0.4,1.0,235.0,1.82,0.0,0.0,0.0,0.0,269.5
26.08,0.4,1.0,235.0,2.2,0.0,0.0,0.0,0.0,264.6
35.49,0.7,2.0,235.0,1.47,0.0,0.0,0.0,0.0,249.9
27.16,0.7,2.0,235.0,1.82,0.0,0.0,0.0,0.0,249.9
27.84,0.7,2.0,235.0,2.85,0.0,0.0,0.0,0.0,303.8
29.51,0.4,1.0,235.0,1.47,210.0,0.38,210.0,0.38,343.0
31.67,0.4,1.0,235.0,1.47,210.0,0.57,210.0,0.57,411.6
28.63,0.4,1.0,235.0,1.47,210.0,0.84,210.0,0.84,348.88
29.51,0.4,1.0,235.0,1.47,210.0,1.12,210.0,1.12,360.15
35.1,0.7,2.0,235.0,1.82,210.0,0.38,210.0,0.38,355.74
27.35,0.7,2.0,235.0,1.82,210.0,0.57,210.0,0.57,323.4
25.49,0.7,2.0,235.0,1.82,210.0,0.84,210.0,0.84,323.4
22.06,0.7,2.0,235.0,1.82,0.0,0.0,0.0,0.0,249.9
31.08,0.7,2.0,235.0,1.82,0.0,0.0,0.0,0.0,352.8
38.14,0.7,2.0,235.0,1.82,0.0,0.0,0.0,0.0,352.8
30.39,0.4,1.0,235.0,0.66,0.0,0.0,0.0,0.0,205.8
27.94,0.7,2.0,235.0,0.89,0.0,0.0,0.0,0.0,274.4
27.47,1.0,2.28,431.0,1.94,437.4,0.23,437.4,0.63,174.5
22.15,1.21,2.64,431.0,1.94,437.4,0.68,437.4,0.42,126.1
26.2,1.5,3.14,431.0,1.94,0.0,0.0,0.0,0.0,115.7
27.22,0.35,1.0,286.8,0.52,0.0,0.0,279.9,2.45,239.0
28.61,0.35,1.0,286.8,0.52,279.9,2.45,0.0,0.0,276.0
62.15,0.5,3.57,410.0,1.56,410.0,0.43,410.0,0.12,713.05
64.18,0.5,3.57,410.0,1.29,0.0,0.0,410.0,0.13,347.4
30.0,1.25,3.57,410.0,1.56,410.0,0.43,410.0,0.12,254.8
40.51,1.16,4.44,420.0,1.27,450.0,0.35,450.0,0.31,1357.0
40.51,1.27,4.44,420.0,1.4,450.0,0.13,450.0,0.31,1134.0
63.67,0.89,3.54,434.0,4.08,586.0,0.15,586.0,0.67,484.0
54.18,2.7,5.0,504.8,1.23,0.0,0.0,375.2,0.48,105.0
30.62,0.62,1.81,317.0,0.27,0.0,0.0,0.0,0.0,116.0
33.13,0.5,4.0,335.0,1.51,448.0,0.29,448.0,0.21,420.0
31.18,0.9,2.5,235.0,1.5,0.0,0.0,0.0,0.0,232.26
33.82,0.7,2.0,235.0,2.2,0.0,0.0,0.0,0.0,303.8
29.8,0.7,2.0,235.0,1.82,210.0,1.12,210.0,1.12,277.83
